"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013EA","B25085_013M","B25085_013MA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US18039","Elkhart County, Indiana","1517","null","329","null","0","null","27","null","110","110","null","null","0","27","null","null","92","85","null","null","0","null","27","null","36","null","43","null","36","58","null","null","189","138","null","null","67","63","null","null","104","null","82","null","64","null","89","null","84","null","87","null","26","41","null","null","140","90","null","null","99","88","null","null","7","null","11","null","161","null","121","null","135","109","null","null","120","111","null","null","47","null","63","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18041","Fayette County, Indiana","377","null","152","null","27","null","42","null","0","21","null","null","25","35","null","null","29","45","null","null","57","null","62","null","0","null","21","null","0","21","null","null","68","63","null","null","28","48","null","null","0","null","21","null","23","null","39","null","0","null","21","null","23","37","null","null","0","21","null","null","0","21","null","null","0","null","21","null","21","null","31","null","48","52","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","28","null","44","null","0","21","null","null","0","21","null","null",
"0500000US18043","Floyd County, Indiana","758","null","208","null","0","null","27","null","16","25","null","null","0","27","null","null","17","28","null","null","0","null","27","null","36","null","52","null","0","27","null","null","0","27","null","null","44","47","null","null","63","null","51","null","0","null","27","null","34","null","34","null","0","27","null","null","176","105","null","null","93","82","null","null","0","null","27","null","0","null","27","null","85","67","null","null","68","73","null","null","54","null","46","null","50","null","73","null","0","null","27","null","22","null","34","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18045","Fountain County, Indiana","126","null","68","null","18","null","22","null","0","18","null","null","0","18","null","null","0","18","null","null","5","null","8","null","0","null","18","null","13","21","null","null","0","18","null","null","24","30","null","null","0","null","18","null","7","null","11","null","15","null","17","null","30","32","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null","14","21","null","null","0","18","null","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","0","null","18","null","0","18","null","null","0","18","null","null",
"0500000US18047","Franklin County, Indiana","264","null","160","null","14","null","19","null","0","21","null","null","15","24","null","null","21","34","null","null","0","null","21","null","0","null","21","null","4","6","null","null","0","21","null","null","16","16","null","null","0","null","21","null","18","null","30","null","18","null","22","null","0","21","null","null","0","21","null","null","0","21","null","null","85","null","93","null","0","null","21","null","73","111","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US18049","Fulton County, Indiana","158","null","88","null","0","null","21","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","20","18","null","null","14","17","null","null","0","21","null","null","35","null","47","null","0","null","21","null","33","null","48","null","0","21","null","null","0","21","null","null","21","30","null","null","0","null","21","null","35","null","37","null","0","21","null","null","0","21","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US18051","Gibson County, Indiana","144","null","88","null","0","null","24","null","0","24","null","null","0","24","null","null","0","24","null","null","9","null","14","null","36","null","52","null","0","24","null","null","8","13","null","null","55","63","null","null","4","null","6","null","10","null","15","null","5","null","9","null","0","24","null","null","0","24","null","null","0","24","null","null","8","null","12","null","9","null","13","null","0","24","null","null","0","24","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18053","Grant County, Indiana","1047","null","288","null","62","null","56","null","40","47","null","null","30","35","null","null","14","16","null","null","8","null","12","null","131","null","84","null","63","59","null","null","0","27","null","null","13","20","null","null","119","null","104","null","181","null","113","null","121","null","94","null","0","27","null","null","5","8","null","null","0","27","null","null","15","null","23","null","72","null","73","null","173","142","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US18055","Greene County, Indiana","480","null","143","null","30","null","33","null","0","24","null","null","18","22","null","null","23","36","null","null","0","null","24","null","86","null","61","null","38","28","null","null","21","34","null","null","82","50","null","null","0","null","24","null","34","null","40","null","14","null","22","null","0","24","null","null","8","13","null","null","45","48","null","null","0","null","24","null","0","null","24","null","24","39","null","null","57","80","null","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","null","24","null","0","24","null","null","0","24","null","null",
"0500000US18057","Hamilton County, Indiana","1937","null","409","null","55","null","55","null","7","12","null","null","41","46","null","null","31","48","null","null","0","null","27","null","30","null","49","null","0","27","null","null","85","97","null","null","35","49","null","null","36","null","54","null","35","null","59","null","10","null","16","null","53","60","null","null","95","89","null","null","208","137","null","null","116","null","84","null","266","null","150","null","97","95","null","null","104","78","null","null","177","null","121","null","367","null","244","null","60","null","82","null","29","null","47","null","0","null","27","null","0","27","null","null","0","27","null","null",
