"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018M","B25085_018MA","B25085_018EA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US12077","Liberty County, Florida","58","null","31","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","19","null","29","null","0","19","null","null","12","14","null","null","0","19","null","null","0","null","19","null","17","null","26","null","0","19","null","null","0","19","null","null","10","15","null","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US12079","Madison County, Florida","223","null","106","null","0","null","21","null","0","21","null","null","0","21","null","null","29","35","null","null","0","null","21","null","0","null","21","null","15","25","null","null","23","36","null","null","28","40","null","null","0","null","21","null","24","null","38","null","24","40","null","null","0","21","null","null","11","14","null","null","0","21","null","null","35","null","39","null","0","21","null","null","0","21","null","null","34","44","null","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","null","21","null","0","21","null","null","0","21","null","null",
"0500000US12081","Manatee County, Florida","4346","null","655","null","269","null","176","null","59","65","null","null","39","65","null","null","69","81","null","null","30","null","37","null","188","null","120","null","0","31","null","null","9","14","null","null","99","99","null","null","258","null","186","null","153","null","129","null","217","126","null","null","23","37","null","null","248","133","null","null","140","107","null","null","248","null","121","null","284","153","null","null","481","222","null","null","214","95","null","null","496","null","223","null","181","null","92","null","497","null","197","null","101","null","86","null","10","null","16","null","33","27","null","null","0","31","null","null",
"0500000US12083","Marion County, Florida","4385","null","717","null","43","null","68","null","10","27","null","null","98","93","null","null","98","75","null","null","204","null","156","null","205","null","165","null","26","40","null","null","295","163","null","null","188","117","null","null","246","null","176","null","194","null","135","null","277","176","null","null","219","135","null","null","543","243","null","null","306","169","null","null","225","null","149","null","237","152","null","null","254","153","null","null","111","128","null","null","374","null","300","null","28","null","45","null","0","null","31","null","152","null","198","null","36","null","59","null","16","26","null","null","0","31","null","null",
"0500000US12085","Martin County, Florida","1256","null","285","null","0","null","31","null","0","31","null","null","0","31","null","null","19","31","null","null","12","null","17","null","0","null","31","null","59","71","null","null","35","59","null","null","0","31","null","null","0","null","31","null","0","null","31","null","51","53","null","null","0","31","null","null","64","68","null","null","23","31","null","null","150","null","101","null","60","67","null","null","172","125","null","null","118","95","null","null","75","null","71","null","56","null","55","null","208","null","136","null","37","null","61","null","56","null","78","null","17","26","null","null","44","35","null","null",
"0500000US12086","Miami-Dade County, Florida","15102","null","1055","null","0","null","31","null","0","31","null","null","44","49","null","null","58","68","null","null","0","null","31","null","0","null","31","null","27","35","null","null","109","97","null","null","245","144","null","null","259","null","138","null","235","null","125","null","346","138","null","null","471","167","null","null","898","251","null","null","804","251","null","null","894","null","227","null","887","212","null","null","1097","278","null","null","1759","334","null","null","2574","null","399","null","1018","null","247","null","1411","null","311","null","708","null","232","null","188","null","124","null","302","141","null","null","768","236","null","null",
"0500000US12087","Monroe County, Florida","889","null","190","null","0","null","31","null","0","31","null","null","0","31","null","null","0","31","null","null","17","null","27","null","0","null","31","null","17","26","null","null","0","31","null","null","0","31","null","null","0","null","31","null","0","null","31","null","0","31","null","null","0","31","null","null","5","8","null","null","51","60","null","null","71","null","64","null","0","31","null","null","19","30","null","null","50","39","null","null","115","null","81","null","36","null","37","null","273","null","122","null","107","null","78","null","45","null","38","null","38","42","null","null","45","43","null","null",
"0500000US12089","Nassau County, Florida","593","null","197","null","0","null","31","null","8","14","null","null","0","31","null","null","0","31","null","null","0","null","31","null","0","null","31","null","0","31","null","null","8","12","null","null","11","17","null","null","0","null","31","null","0","null","31","null","14","24","null","null","0","31","null","null","105","94","null","null","0","31","null","null","79","null","81","null","32","50","null","null","43","53","null","null","76","87","null","null","90","null","88","null","23","null","36","null","0","null","31","null","64","null","82","null","19","null","23","null","0","31","null","null","21","30","null","null",
"0500000US12091","Okaloosa County, Florida","1013","null","325","null","0","null","31","null","25","39","null","null","0","31","null","null","0","31","null","null","0","null","31","null","153","null","156","null","0","31","null","null","0","31","null","null","0","31","null","null","43","null","50","null","24","null","37","null","0","31","null","null","53","63","null","null","207","137","null","null","0","31","null","null","21","null","32","null","176","126","null","null","85","90","null","null","41","66","null","null","39","null","40","null","103","null","92","null","14","null","23","null","0","null","31","null","29","null","40","null","0","31","null","null","0","31","null","null",
"0500000US12093","Okeechobee County, Florida","322","null","124","null","31","null","48","null","4","16","null","null","22","33","null","null","0","28","null","null","0","null","28","null","0","null","28","null","0","28","null","null","60","58","null","null","16","19","null","null","24","null","37","null","0","null","28","null","0","28","null","null","0","28","null","null","50","52","null","null","7","11","null","null","51","null","59","null","28","46","null","null","0","28","null","null","0","28","null","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","29","45","null","null",
