"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002M","B25085_002MA","B25085_002EA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004EA","B25085_004M","B25085_004MA","B25085_005E","B25085_005EA","B25085_005M","B25085_005MA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007M","B25085_007MA","B25085_007EA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009EA","B25085_009M","B25085_009MA","B25085_010E","B25085_010EA","B25085_010M","B25085_010MA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014EA","B25085_014M","B25085_014MA","B25085_015E","B25085_015EA","B25085_015M","B25085_015MA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024M","B25085_024MA","B25085_024EA","B25085_025E","B25085_025M","B25085_025MA","B25085_025EA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027EA","B25085_027M","B25085_027MA",
"0500000US55101","Racine County, Wisconsin","702","null","264","null","0","20","null","null","16","27","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","62","null","72","null","18","null","28","null","0","null","20","null","81","null","67","null","54","79","null","null","18","null","20","null","40","null","39","null","69","null","73","null","122","null","99","null","5","null","7","null","146","130","null","null","0","20","null","null","58","82","null","null","0","null","20","null","13","null","19","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55103","Richland County, Wisconsin","69","null","35","null","0","14","null","null","0","14","null","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null","0","14","null","null","1","null","3","null","0","null","14","null","7","null","10","null","0","null","14","null","4","7","null","null","10","null","14","null","20","null","18","null","6","null","7","null","11","null","14","null","0","null","14","null","0","14","null","null","0","14","null","null","4","3","null","null","0","null","14","null","6","null","10","null","0","14","null","null","0","14","null","null","0","14","null","null","0","null","14","null",
"0500000US55105","Rock County, Wisconsin","351","null","140","null","7","11","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","61","70","null","null","0","20","null","null","0","null","20","null","19","null","29","null","0","null","20","null","13","null","22","null","0","20","null","null","68","null","88","null","18","null","19","null","17","null","28","null","34","null","42","null","0","null","20","null","83","88","null","null","2","3","null","null","29","26","null","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55107","Rusk County, Wisconsin","80","null","35","null","1","3","null","null","0","14","null","null","0","null","14","null","0","null","14","null","5","null","7","null","0","14","null","null","0","14","null","null","0","null","14","null","9","null","14","null","4","null","6","null","4","null","6","null","0","14","null","null","4","null","7","null","0","null","14","null","0","null","14","null","16","null","16","null","7","null","12","null","6","10","null","null","4","6","null","null","6","9","null","null","0","null","14","null","7","null","10","null","7","11","null","null","0","14","null","null","0","14","null","null","0","null","14","null",
"0500000US55109","St. Croix County, Wisconsin","197","null","119","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","32","null","50","null","0","null","20","null","0","null","20","null","0","20","null","null","9","null","14","null","15","null","22","null","0","null","20","null","12","null","14","null","0","null","20","null","0","20","null","null","22","28","null","null","7","11","null","null","11","null","11","null","89","null","102","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55111","Sauk County, Wisconsin","334","null","129","null","0","20","null","null","0","20","null","null","0","null","20","null","46","null","56","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","14","null","17","null","0","null","20","null","38","58","null","null","0","null","20","null","13","null","13","null","32","null","25","null","20","null","23","null","73","null","71","null","62","37","null","null","19","22","null","null","3","4","null","null","12","null","16","null","2","null","3","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55113","Sawyer County, Wisconsin","188","null","64","null","0","14","null","null","0","14","null","null","0","null","14","null","0","null","14","null","0","null","14","null","5","7","null","null","0","14","null","null","4","null","6","null","7","null","11","null","15","null","13","null","14","null","13","null","5","8","null","null","0","null","14","null","35","null","46","null","19","null","21","null","12","null","16","null","12","null","10","null","16","18","null","null","19","25","null","null","6","5","null","null","10","null","11","null","8","null","12","null","0","14","null","null","1","3","null","null","0","14","null","null","0","null","14","null",
"0500000US55115","Shawano County, Wisconsin","234","null","85","null","23","38","null","null","0","18","null","null","14","null","15","null","0","null","18","null","9","null","14","null","0","18","null","null","1","2","null","null","0","null","18","null","0","null","18","null","0","null","18","null","9","null","11","null","16","26","null","null","15","null","18","null","34","null","28","null","61","null","55","null","0","null","18","null","16","null","18","null","0","18","null","null","20","31","null","null","10","10","null","null","6","null","10","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null",
"0500000US55117","Sheboygan County, Wisconsin","249","null","92","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","0","20","null","null","0","20","null","null","0","null","20","null","0","null","20","null","0","null","20","null","6","null","10","null","46","48","null","null","0","null","20","null","0","null","20","null","28","null","29","null","42","null","33","null","15","null","18","null","94","63","null","null","0","20","null","null","13","17","null","null","0","null","20","null","5","null","7","null","0","20","null","null","0","20","null","null","0","20","null","null","0","null","20","null",
"0500000US55119","Taylor County, Wisconsin","100","null","33","null","0","16","null","null","0","16","null","null","0","null","16","null","7","null","10","null","0","null","16","null","0","16","null","null","0","16","null","null","5","null","7","null","19","null","17","null","0","null","16","null","0","null","16","null","7","12","null","null","0","null","16","null","26","null","18","null","0","null","16","null","0","null","16","null","5","null","7","null","12","14","null","null","7","7","null","null","5","8","null","null","0","null","16","null","7","null","10","null","0","16","null","null","0","16","null","null","0","16","null","null","0","null","16","null",
