"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020EA","B25085_020M","B25085_020MA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022M","B25085_022MA","B25085_022EA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"0500000US72103","Naguabo Municipio, Puerto Rico","211","null","133","null","0","null","27","null","0","27","null","null","24","38","null","null","0","27","null","null","0","null","27","null","19","null","30","null","0","27","null","null","0","27","null","null","68","96","null","null","0","null","27","null","36","null","58","null","42","48","null","null","22","36","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72105","Naranjito Municipio, Puerto Rico","98","null","60","null","0","null","27","null","0","27","null","null","8","13","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","0","null","27","null","12","null","19","null","0","27","null","null","0","27","null","null","20","31","null","null","27","null","43","null","0","null","27","null","0","null","27","null","0","27","null","null","31","null","50","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72107","Orocovis Municipio, Puerto Rico","93","null","75","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","27","null","null","21","35","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","27","null","null","34","30","null","null","11","17","null","null","27","null","32","null","0","null","27","null","0","null","27","null","0","27","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72109","Patillas Municipio, Puerto Rico","78","null","74","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","32","null","50","null","0","23","null","null","0","23","null","null","31","51","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","null","23","null","0","23","null","null","15","24","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US72111","Peñuelas Municipio, Puerto Rico","182","null","96","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","30","null","48","null","52","null","52","null","12","19","null","null","21","25","null","null","0","23","null","null","0","null","23","null","16","null","12","null","0","null","23","null","29","33","null","null","22","null","25","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US72113","Ponce Municipio, Puerto Rico","933","null","198","null","0","null","34","null","0","34","null","null","0","34","null","null","61","45","null","null","0","null","34","null","29","null","35","null","18","28","null","null","57","53","null","null","46","50","null","null","63","null","51","null","129","null","75","null","78","52","null","null","105","65","null","null","54","62","null","null","16","null","26","null","102","null","69","null","90","null","67","null","21","34","null","null","64","null","58","null","0","34","null","null","0","34","null","null","0","null","34","null","0","null","34","null","0","null","34","null","0","34","null","null","0","34","null","null",
"0500000US72115","Quebradillas Municipio, Puerto Rico","229","null","125","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","19","29","null","null","22","34","null","null","0","27","null","null","29","null","47","null","0","null","27","null","141","115","null","null","18","28","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72117","Rincón Municipio, Puerto Rico","244","null","118","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","17","null","26","null","0","23","null","null","0","23","null","null","0","23","null","null","13","null","21","null","0","null","23","null","31","51","null","null","14","24","null","null","0","23","null","null","47","null","43","null","38","null","35","null","14","null","22","null","27","43","null","null","0","null","23","null","30","34","null","null","13","21","null","null","0","null","23","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US72119","Río Grande Municipio, Puerto Rico","295","null","119","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","27","31","null","null","12","null","20","null","17","null","27","null","0","30","null","null","0","30","null","null","92","81","null","null","51","null","48","null","47","null","44","null","17","null","29","null","17","26","null","null","15","null","24","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72121","Sabana Grande Municipio, Puerto Rico","1024","null","203","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","27","null","null","36","46","null","null","55","50","null","null","78","null","61","null","143","null","71","null","62","58","null","null","119","74","null","null","96","69","null","null","219","null","104","null","0","null","27","null","50","null","47","null","83","67","null","null","83","null","67","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72123","Salinas Municipio, Puerto Rico","293","null","127","null","0","null","27","null","0","27","null","null","0","27","null","null","0","27","null","null","0","null","27","null","48","null","56","null","0","27","null","null","17","27","null","null","57","63","null","null","0","null","27","null","18","null","28","null","0","27","null","null","17","27","null","null","31","50","null","null","23","null","38","null","0","null","27","null","70","null","68","null","12","19","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
"0500000US72125","San Germán Municipio, Puerto Rico","196","null","104","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","17","27","null","null","0","30","null","null","139","89","null","null","13","null","20","null","13","null","20","null","0","null","30","null","0","30","null","null","14","null","24","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72127","San Juan Municipio, Puerto Rico","3223","null","369","null","41","null","40","null","0","34","null","null","0","34","null","null","26","31","null","null","0","null","34","null","33","null","33","null","0","34","null","null","131","90","null","null","49","46","null","null","325","null","133","null","266","null","112","null","286","115","null","null","150","89","null","null","364","130","null","null","228","null","109","null","414","null","133","null","100","null","49","null","239","108","null","null","136","null","75","null","179","93","null","null","76","63","null","null","121","null","82","null","59","null","56","null","0","null","34","null","0","34","null","null","0","34","null","null",
"0500000US72129","San Lorenzo Municipio, Puerto Rico","302","null","112","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","11","null","17","null","0","null","30","null","0","30","null","null","80","55","null","null","0","30","null","null","166","null","87","null","0","null","30","null","17","null","27","null","10","16","null","null","0","null","30","null","18","28","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72131","San Sebastián Municipio, Puerto Rico","334","null","120","null","0","null","30","null","0","30","null","null","0","30","null","null","0","30","null","null","0","null","30","null","88","null","83","null","0","30","null","null","0","30","null","null","13","20","null","null","18","null","29","null","10","null","15","null","16","26","null","null","21","36","null","null","24","38","null","null","39","null","45","null","32","null","37","null","29","null","47","null","0","30","null","null","0","null","30","null","44","41","null","null","0","30","null","null","0","null","30","null","0","null","30","null","0","null","30","null","0","30","null","null","0","30","null","null",
"0500000US72133","Santa Isabel Municipio, Puerto Rico","245","null","110","null","0","null","27","null","0","27","null","null","0","27","null","null","32","37","null","null","0","null","27","null","0","null","27","null","0","27","null","null","28","44","null","null","51","60","null","null","0","null","27","null","22","null","36","null","45","64","null","null","41","39","null","null","13","21","null","null","0","null","27","null","0","null","27","null","13","null","22","null","0","27","null","null","0","null","27","null","0","27","null","null","0","27","null","null","0","null","27","null","0","null","27","null","0","null","27","null","0","27","null","null","0","27","null","null",
