cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
12057,9.7,6.3,11.4
12059,13.399999999999999,5.5,18.9
12061,16.0,6.0,12.0
12063,8.7,5.0,28.9
12065,9.2,7.0,30.0
12067,9.4,4.9,31.9
12069,11.4,7.6,11.4
12071,12.8,7.0,10.3
12073,7.3,8.1,30.8
12075,15.200000000000001,3.7,17.2
12077,10.899999999999999,6.9,30.6
12079,10.2,8.2,27.3
12081,13.1,7.2,10.3
12083,12.5,5.0,12.7
12085,16.1,7.2,10.6
12086,14.3,5.1,9.4
12087,17.8,6.5,14.4
12089,11.7,8.6,15.2
12091,11.3,4.6,20.8
12093,11.9,4.8,14.2
12095,9.4,6.3,9.1
12097,7.4,5.1,10.1
12099,14.5,4.8,10.0
12101,11.0,6.0,12.1
12103,11.9,7.4,10.6
12105,9.2,6.4,10.5
12107,10.4,6.9,15.6
12109,11.9,8.9,13.7
12111,11.399999999999999,5.9,11.3
12113,9.9,8.5,16.6
12115,16.1,6.1,9.1
12117,12.0,8.0,10.5
12119,13.799999999999999,7.3,10.9
12121,11.5,6.7,18.1
12123,8.7,5.5,19.9
12125,10.5,3.1,32.7
12127,11.6,6.6,11.0
12129,10.5,4.7,31.8
12131,17.9,5.3,13.2
12133,13.1,4.5,19.9
13001,7.9,3.6,17.8
13003,7.699999999999999,2.8,14.3
13005,11.1,6.2,18.3
13007,10.3,6.7,20.5
13009,4.9,5.9,26.3
13011,10.4,4.3,13.0
13013,8.0,4.8,12.3
13015,9.4,6.0,12.3
13017,5.4,7.9,16.6
13019,6.7,4.4,17.3
13021,8.0,7.3,15.8
13023,5.6,5.3,26.3
13025,9.7,3.1,17.0
13027,12.899999999999999,7.7,17.4
13029,9.600000000000001,4.7,18.5
13031,9.5,3.8,23.6
13033,9.100000000000001,2.3,16.3
13035,10.8,4.7,14.0
13037,7.7,3.6,24.2
13039,7.8999999999999995,4.4,26.2
13043,15.3,2.7,14.7
13045,8.8,5.7,14.7
13047,8.3,5.8,11.6
13049,10.1,6.2,22.2
13051,9.600000000000001,7.6,14.3
13053,5.9,3.8,41.3
13055,10.3,2.4,13.0
13057,11.600000000000001,5.2,10.8
13059,8.3,7.2,24.0
13061,11.2,0.2,16.2
13063,7.7,4.6,14.7
13065,6.5,3.3,18.7
13067,11.3,6.3,10.2
13069,10.8,5.6,13.9
13071,8.100000000000001,5.1,14.5
13073,8.6,4.6,19.8
13075,9.7,4.1,17.6
13077,9.2,5.5,13.3
13079,10.8,7.0,20.3
13081,11.3,4.3,20.9
13083,9.9,13.0,9.6
13085,12.3,3.8,11.7
13087,10.0,5.0,19.0
13089,9.3,9.0,12.9
13091,9.7,3.4,30.3
13093,8.8,3.0,27.0
13095,6.199999999999999,7.3,23.3
13097,9.100000000000001,6.3,14.0
13099,6.1000000000000005,5.2,25.3
13101,6.8999999999999995,3.4,13.9
13103,7.3999999999999995,4.0,14.6
13105,9.8,2.0,18.3
13107,11.5,3.9,22.5
13109,13.6,3.3,14.4
13111,20.0,3.2,15.0
13113,12.1,6.2,14.6
13115,9.2,7.7,13.2
