cfips,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry
02164,37.5,2.753872633390706,5.851979345955249,23.752151462994835
02170,32.1,2.998009134559082,8.045438575945662,9.584260452043566
02180,34.3,2.1709260785930202,5.825776312173674,17.614729321242102
02185,31.9,1.7923133776792313,3.8433111603843315,12.102734663710274
02188,35.9,2.298417483044461,5.764883195177091,17.558402411454406
02195,22.9,1.5206812652068127,7.360097323600972,5.413625304136254
02198,29.2,2.5179856115107913,7.985611510791367,13.345323741007196
02220,39.5,2.849851127179923,8.592088472990216,9.931943853679286
02230,29.7,2.5677603423680457,21.82596291012839,6.704707560627675
02240,31.3,1.394083645018701,4.012240734444067,18.259095545732745
02261,27.0,2.2502628811777075,6.0988433228180865,15.835962145110411
02275,34.0,1.461187214611872,5.570776255707763,7.488584474885844
02282,24.9,2.9177718832891246,9.283819628647215,25.9946949602122
02290,33.7,0.9606147934678195,5.859750240153699,23.72718539865514
04001,29.7,3.2422926856075174,8.897070945760289,11.348024399626313
04003,34.4,3.7646299880195375,9.879273799649802,16.572205326698
04005,36.5,3.5261859902271646,19.48133511021246,6.398296646906545
04007,31.6,4.523495827843654,12.747035573122531,7.608695652173914
04009,28.3,3.335481791814373,10.997421849822754,8.161456654850145
04011,24.0,1.034013605442177,8.108843537414966,4.108843537414966
04012,26.4,5.807846771702193,24.930491195551436,11.105962310781587
04013,37.4,9.795258201724714,10.066484708517041,3.8201880234212795
04015,24.3,4.719523031501705,20.178003267692837,5.447587926734887
04017,29.3,3.87512806605195,12.743325498704273,9.473874525402277
04019,36.4,5.832821965589949,11.412805263473578,6.398248584703261
04021,29.4,6.309942730973574,11.0467122058925,7.829986890222866
04023,25.6,4.724183456747603,10.068308363469376,7.565581769129212
04025,31.9,4.695038008020591,13.345304363440475,4.911713652959837
04027,24.9,3.414295442710072,11.086779452804743,10.700885286616549
05001,27.7,3.8131313131313136,4.558080808080808,5.492424242424242
05003,27.5,2.2264389626818466,3.6306135357368756,5.287792536369387
05005,30.1,6.385784252166268,8.012055757880196,2.6371970362928545
05007,37.6,4.788295093186883,7.197048734277582,2.3252902439635097
05009,29.8,5.95955113168072,10.682812400938314,2.9353959297533763
05011,25.9,2.7966926070038913,5.2042801556420235,6.20136186770428
05013,24.5,2.8442437923250563,2.3024830699774266,4.334085778781038
05015,27.5,4.850877192982456,10.903508771929825,2.3157894736842106
05017,30.1,2.8423066411587863,6.6138289150041,10.877288876742279
05019,33.6,4.499076863278593,12.729569526770964,5.159848411233116
05021,22.3,2.005133140840552,4.748155277510427,2.2938723131215912
05023,27.7,4.634194438966674,7.227371327154406,3.174916190100572
05025,30.1,6.276026174895895,2.944675788221297,6.365258774538965
05027,28.9,3.918193783537512,10.306773311734332,2.814619823833148
05029,26.3,5.634475349170347,6.517846484421631,4.22585651187776
05031,34.3,4.936120789779326,9.088269454123113,2.8455284552845526
05033,29.7,4.221195293386665,6.683235602500874,4.030911420915693
05035,29.4,3.9345232225618774,8.371955428458731,4.146533872399171
05037,26.0,3.8801436067384705,3.507318420325877,6.862745098039216
05039,18.6,3.1958762886597936,6.254295532646048,9.621993127147768
05041,27.4,4.324324324324325,5.405405405405405,10.63063063063063
05043,34.2,3.9454712282081528,6.711233451304234,6.8029885961462835
05045,36.0,5.418280808292326,9.709280005584057,3.8879000453704675
05047,27.5,3.167626553501061,5.547135495604729,5.729008790542588
05049,29.7,3.3639883833494677,6.316553727008713,3.073572120038722
05051,31.8,5.5,13.399497487437188,4.291457286432161
05053,31.4,2.909668033328925,7.803200634836662,4.179341356963365
05055,27.8,4.499031058503116,6.751165348557063,3.032525009165663
05057,26.9,3.1976414559473865,9.84238575802245,5.250028347885248
05059,30.4,4.103752429361639,9.72492151293168,4.499925250411123
05061,27.1,2.5,6.097122302158273,4.08273381294964
05063,29.6,4.01829467494283,7.559621038876184,3.7242731133616465
05065,30.3,4.3120260021668475,7.323943661971831,6.067172264355363
05067,22.3,3.8245614035087723,4.614035087719298,5.894736842105263
05069,27.9,4.569472352459626,5.313686090645233,9.339882414229367
05071,25.9,2.435983504363671,6.195454109523353,4.517119017934209
05073,26.9,3.8372093023255816,4.651162790697675,9.689922480620156
05075,27.9,2.574441687344913,8.03349875930521,5.459057071960298
05077,20.8,4.644616467276566,5.559465165376495,9.746657283603097
05079,25.6,2.2625781482584104,4.61446859184281,9.22893718368562
05081,26.3,1.6439541423318191,6.921912178239238,7.808782176076141
05083,27.5,3.957309029859695,4.221129631850342,5.21645281208778
05085,34.6,5.00659974828867,8.432329557663381,7.4838075943150075
05087,29.3,2.806161354277871,4.117736769864267,3.3246911697422603
05089,26.0,3.3439192975901366,7.080141976461797,5.884550719222865
05091,30.3,4.369802706668841,7.9243437143323,5.701396815044296
05093,22.8,3.219455703532137,6.056745801968732,4.452808338158657
05095,20.5,4.028436018957346,8.733920108327691,9.174001354096141
05097,29.1,1.6933497536945814,10.252463054187192,4.125615763546798
05099,28.9,2.1250758955676985,1.3964784456587735,3.7340619307832426
05101,27.8,4.431599229287091,9.312780989081567,3.8856775850995504
05103,30.5,2.626480086114101,3.9397201291711514,6.803013993541443
05105,28.7,4.184630991630738,5.300532589398935,4.844027390311945
05107,25.9,2.3370050610300686,10.330455492706163,5.775528431080678
05109,26.9,3.8289296909986565,8.105687416032243,4.343931930138827
05111,24.3,4.129793510324483,6.58449220396123,3.8664138221660345
05113,28.4,3.48933813348103,5.898643035170313,4.970922182220992
05115,30.2,4.462369570043662,8.451121142603418,2.497594908606527
05117,28.1,3.126809496236248,3.676896352055588,4.1980312680949625
05119,41.2,7.310204260541772,8.65696502147804,6.864754098360656
05121,29.7,3.2676744541151317,3.9242632462971447,3.649412123988395
05123,23.2,1.970727209865161,7.94053244208828,7.652414428950098
05125,35.4,6.26648248147683,8.525143072424248,5.5165856371432165
05127,23.7,3.7847136888670434,5.013516834603097,2.752519046448759
05129,25.0,5.029201817001947,3.8286826735885784,3.731343283582089
05131,29.4,3.685712221901185,8.388110372724645,2.291606472117885
