cfips,pct_divorced,pct_never_married
16049,13.1,19.8
16051,8.8,24.0
16053,9.7,26.7
16055,13.6,24.9
16057,8.1,42.7
16059,12.6,19.4
16061,15.4,21.7
16063,9.2,27.6
16065,3.4,35.2
16067,11.9,24.8
16069,13.9,26.5
16071,9.8,17.8
16073,9.6,25.1
16075,13.1,22.9
16077,12.8,21.6
16079,15.5,20.8
16081,12.2,32.3
16083,12.4,24.6
16085,16.9,26.5
16087,15.0,22.7
17001,11.1,26.2
17003,13.2,31.1
17005,10.2,30.1
17007,10.6,29.0
17009,12.7,37.8
17011,11.0,23.9
17013,9.7,26.4
17015,9.7,24.2
17017,12.5,27.3
17019,8.7,45.9
17021,14.7,25.1
17023,12.4,20.2
17025,17.2,23.3
17027,10.8,29.9
17029,12.3,37.7
17031,8.6,41.6
17033,12.8,25.5
17035,12.1,23.1
17037,9.3,43.1
17039,12.9,23.2
17041,12.6,25.3
17043,8.2,30.1
17045,12.7,23.9
17047,11.4,20.0
17049,10.2,27.2
17051,13.7,29.9
17053,12.0,25.4
17055,14.8,25.1
17057,14.9,29.0
17059,14.6,20.3
17061,12.6,27.4
17063,9.6,26.3
17065,8.9,21.9
17067,12.2,21.2
17069,12.8,27.8
17071,12.1,20.5
17073,10.2,24.5
17075,11.5,23.4
17077,9.8,45.2
17079,10.4,25.3
17081,13.8,28.5
17083,10.4,26.7
17085,11.0,22.0
17087,10.2,30.0
17089,9.1,31.5
17091,10.0,35.6
17093,8.7,28.8
17095,13.6,32.8
17097,8.6,30.9
17099,11.8,29.0
17101,13.9,28.7
17103,12.1,28.4
17105,12.1,29.3
17107,13.1,31.0
17109,9.6,42.9
17111,9.1,27.4
17113,8.8,38.1
17115,13.8,31.0
17117,13.1,24.8
17119,12.3,29.1
17121,14.1,26.8
17123,10.3,24.6
17125,12.2,23.9
17127,12.0,22.4
17129,11.3,21.4
17131,10.5,22.5
17133,9.0,22.7
17135,14.1,26.8
17137,14.2,31.0
17139,11.2,19.2
17141,10.7,24.9
17143,12.5,35.1
17145,12.1,30.8
17147,10.4,21.6
17149,13.0,25.1
17151,14.5,24.0
17153,12.3,29.6
17155,11.3,21.7
17157,11.9,32.2
17159,16.1,24.0
17161,12.9,30.7
17163,11.4,34.6
17165,15.8,23.3
17167,13.6,32.1
17169,16.0,29.8
17171,12.1,22.7
17173,11.0,22.3
17175,11.7,24.4
17177,12.0,26.2
17179,11.3,24.7
17181,11.6,27.1
17183,14.8,30.3
17185,11.9,19.6
17187,10.8,31.2
17189,11.3,21.7
17191,13.3,21.0
17193,13.7,19.8
17195,12.7,25.3
17197,8.7,31.5
17199,14.3,26.8
17201,12.4,31.8
17203,8.1,24.8
18001,10.2,25.1
18003,11.9,32.2
18005,13.4,26.6
18007,15.2,26.1
18009,12.8,22.8
18011,10.1,22.5
18013,10.4,20.0
18015,11.5,23.1
18017,13.0,27.5
18019,14.6,28.1
18021,12.5,22.7
18023,12.5,26.0
18025,13.0,25.3
18027,11.9,25.4
18029,10.8,25.5
18031,14.5,24.6
18033,13.8,27.0
18035,12.6,38.0
18037,9.8,25.8
18039,11.3,29.0
18041,17.4,23.0
18043,12.8,29.1
18045,13.4,22.2
18047,9.8,23.3
18049,15.2,23.5
18051,13.3,24.6
18053,13.9,31.1
18055,15.8,21.2
18057,9.5,24.5
18059,10.9,23.7
18061,13.9,24.8
18063,11.1,25.1
18065,16.1,27.3
18067,14.5,24.8
18069,12.0,25.0
18071,14.4,23.8
18073,11.7,28.4
18075,13.7,27.4
18077,15.5,27.2
18079,15.6,24.8
18081,11.7,25.8
18083,14.8,28.0
