cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
17045,13.1,99.2,37.8
17047,11.7,99.0,16.3
17049,9.2,98.8,21.1
17051,17.6,97.7,31.1
17053,10.3,99.1,26.9
17055,12.4,98.7,42.1
17057,13.7,98.6,31.7
17059,17.3,99.1,30.1
17061,20.6,98.7,28.0
17063,7.6,99.0,34.3
17065,16.9,99.3,28.2
17067,18.7,98.7,26.3
17069,33.8,99.4,28.6
17071,21.8,98.3,16.7
17073,9.8,99.4,33.4
17075,12.3,98.1,36.9
17077,17.2,98.7,51.4
17079,14.4,99.5,44.0
17081,10.1,97.9,38.7
17083,12.6,98.8,42.9
17085,28.4,98.7,23.8
17087,20.3,98.7,38.0
17089,5.2,96.1,40.6
17091,11.4,98.5,36.2
17093,3.8,98.1,35.7
17095,12.4,98.7,35.6
17097,6.9,97.5,39.2
17099,11.3,98.9,38.9
17101,11.0,97.4,26.0
17103,11.1,98.3,32.8
17105,9.6,98.7,37.1
17107,8.9,99.2,24.7
17109,20.5,98.2,45.5
17111,5.9,98.4,37.5
17113,8.0,98.6,38.8
17115,12.2,98.8,38.6
17117,13.8,98.7,44.4
17119,9.7,98.9,40.7
17121,12.2,98.1,39.0
17123,17.0,99.1,32.3
17125,14.5,99.2,32.6
17127,14.7,98.1,40.3
17129,8.4,98.0,31.7
17131,10.6,99.4,28.2
17133,5.1,99.4,39.2
17135,14.3,98.7,35.7
17137,10.5,99.0,38.0
17139,8.6,98.2,29.9
17141,8.0,97.9,31.5
17143,11.0,98.5,38.3
17145,14.0,99.2,42.6
17147,9.6,99.4,23.2
17149,16.9,98.8,26.8
17151,41.0,98.8,51.5
17153,29.1,99.3,44.9
17155,22.0,99.1,19.1
17157,13.3,99.0,26.6
17159,14.0,98.5,33.6
17161,9.1,97.9,36.1
17163,13.6,98.5,43.3
17165,15.2,98.1,35.3
17167,8.3,98.5,41.0
17169,17.3,99.8,15.2
17171,13.9,98.4,31.3
17173,13.1,98.2,27.9
17175,12.5,98.9,26.8
17177,10.9,99.2,35.7
