cfips,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment
06029,97.30433393674795,95.1,79.4,32.6
06031,98.14266761914482,90.7,72.9,26.9
06033,97.2592822422174,95.2,80.5,30.4
06035,95.84120982986768,84.0,68.8,16.3
06037,97.09419781384977,91.0,77.0,50.1
06039,98.10511490941681,94.2,81.8,35.3
06041,97.46472608663422,82.4,70.1,47.1
06043,96.9106463878327,91.2,87.1,33.2
06045,97.98913841185968,93.6,82.7,33.9
06047,97.87482247920471,96.2,94.1,48.4
06049,94.18960244648318,85.3,94.1,14.9
06051,92.03132197144173,98.7,97.0,26.0
06053,96.96355292232232,94.8,84.6,43.2
06055,97.77858045873216,88.8,72.4,49.3
06057,95.29484599907136,91.1,81.9,39.6
06059,97.65988948779237,90.5,81.1,55.4
06061,97.47306681253893,93.7,81.1,44.7
06063,94.41316587267215,89.5,81.6,45.0
06065,97.34705946774723,93.8,78.3,42.8
06067,97.27906096175691,92.2,85.9,43.2
06069,98.76218736752861,92.6,86.9,42.4
06071,97.1923290504184,94.8,78.0,39.5
06073,97.65562567974771,92.1,79.9,45.5
06075,97.43238046404308,71.9,69.8,54.5
06077,97.56375030769128,94.1,75.0,39.8
06079,97.88234023013344,92.4,95.1,67.8
06081,97.98639714790073,82.6,75.7,48.6
06083,97.67828229496656,92.8,92.0,60.5
06085,98.02003373157109,85.1,72.7,56.2
06087,97.32846977831437,89.3,88.3,66.8
06089,96.97174338013151,89.2,75.7,33.8
06091,100.0,86.6,77.1,31.2
06093,94.39913832897369,95.0,81.7,35.5
06095,97.23213170278036,92.7,78.0,36.2
06097,97.42076620798618,91.4,87.1,47.4
06099,97.67291472280986,95.8,86.0,39.3
06101,97.34082801859259,95.2,88.4,39.4
06103,98.11717313249846,93.4,90.4,28.7
06105,97.9746835443038,96.9,76.0,17.8
06107,97.06359676179449,95.9,83.8,37.1
06109,96.65801922783459,88.8,82.8,28.4
06111,98.14647687027389,92.1,78.4,46.4
06113,97.83472741294418,93.3,94.4,76.2
06115,95.8435531985416,95.1,79.6,36.5
08001,97.04749549984413,94.4,78.4,25.9
08003,97.05360312389067,96.6,94.8,53.5
08005,96.75817524762098,92.9,75.4,31.4
08007,97.05882352941177,83.3,69.8,16.0
08009,98.06338028169014,98.7,93.0,23.9
08011,98.09104258443466,97.4,63.0,9.1
08013,97.77129546074583,91.4,89.9,66.6
08014,98.26455202192145,89.8,86.9,30.3
08015,96.82251475261008,93.8,85.4,14.8
08017,98.72122762148338,94.2,67.7,26.3
08019,95.39823008849558,95.7,61.6,13.5
08021,95.56650246305419,92.4,81.3,24.5
08023,90.9090909090909,86.4,100.0,19.4
08025,94.31192660550458,91.1,79.7,15.4
08027,100.0,69.3,32.3,6.0
08029,96.21692543188279,93.9,76.9,19.7
08031,95.84438915101644,90.9,69.5,38.8
08033,98.25174825174825,81.5,100.0,23.5
08035,97.96698147213611,89.8,79.6,37.6
08037,94.71143049629464,89.1,92.2,23.6
08039,95.75716542541187,83.3,82.1,31.6
08041,96.44524851477887,92.1,81.4,35.9
08043,97.64518413597733,91.0,72.5,8.6
08045,97.96271032287403,92.0,70.8,23.9
08047,99.40652818991099,91.0,79.0,27.4
08049,92.45463228271251,98.0,88.0,14.9
08051,95.71230982019364,95.1,89.7,61.4
08053,100.0,83.2,63.6,0.0
08055,97.26840855106889,93.7,64.5,30.1
08057,92.10526315789474,93.8,53.3,37.3
08059,97.22414582330778,91.7,79.8,38.7
08061,99.53703703703704,95.1,89.2,19.0
08063,94.67541940189642,96.0,96.1,14.1
08065,100.0,87.8,83.7,21.4
08067,96.80933852140078,87.0,86.1,44.8
08069,97.13772478730334,91.8,92.7,57.4
08071,95.65899581589959,90.6,90.5,36.9
08073,99.50920245398773,96.8,95.7,5.5
08075,97.11668928086839,96.1,91.9,42.0
08077,97.99410512526609,92.7,86.4,42.3
08079,95.06172839506173,100.0,40.0,22.6
08081,93.44660194174757,90.0,87.3,6.9
08083,96.38386648122392,92.7,87.4,21.4
08085,95.4626334519573,89.0,90.9,22.4
08087,94.43617417193896,95.3,73.9,12.5
08089,98.10981098109811,90.4,87.0,32.5
08091,98.38709677419355,84.7,79.3,7.1
08093,97.5421686746988,86.6,73.3,42.7
08095,98.46938775510205,95.5,78.7,13.5
08097,97.09302325581395,88.0,72.2,30.1
