cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
06087,273962,24.3,29.9,37.8,98.1
06089,179212,34.8,37.1,41.5,96.6
06091,3040,53.5,28.9,54.8,114.8
06093,43468,44.9,36.9,47.8,99.8
06095,441829,24.4,35.9,38.1,99.0
06097,499772,31.1,32.5,42.1,95.4
06099,543194,21.4,45.3,34.1,98.0
06101,96109,25.5,44.2,35.7,99.2
06103,63912,33.9,42.0,41.0,98.9
06105,12700,47.9,30.4,52.5,106.0
06107,461898,19.3,53.6,31.0,100.0
06109,54045,44.3,28.8,48.4,108.4
06111,847263,24.4,37.6,38.1,97.9
06113,217352,18.2,31.8,31.0,94.2
06115,76360,20.4,45.9,32.8,104.1
08001,504108,16.1,42.8,33.8,102.0
08003,16107,21.2,39.2,31.8,100.1
08005,644560,20.1,37.6,36.6,98.0
08007,13253,44.7,30.4,50.9,100.9
08009,3561,49.1,39.6,46.0,96.0
08011,5787,26.7,22.7,40.2,182.0
08013,322510,20.4,28.9,36.6,101.2
08014,67886,20.9,36.5,37.8,99.3
08015,19557,41.8,25.1,49.2,115.6
08017,2026,30.9,56.1,39.4,99.8
08019,9495,30.0,24.5,48.1,101.3
08021,8128,34.0,48.6,38.8,101.2
08023,3745,50.2,33.6,51.9,112.8
08025,5754,18.0,16.6,35.4,174.0
08027,4776,73.3,30.6,59.7,104.6
08029,30565,46.1,36.3,47.3,102.3
08031,705576,16.8,28.8,34.5,100.3
08033,1857,54.8,43.6,48.8,127.9
08035,336041,18.4,42.8,38.7,99.7
08037,54681,16.0,32.6,37.0,113.4
08039,25717,24.7,34.5,46.1,102.5
08041,698974,19.7,38.4,34.2,102.0
08043,47321,33.6,25.1,45.1,139.9
08045,59055,20.4,40.9,36.5,104.0
08047,6018,26.2,19.8,49.0,102.6
08049,15303,25.4,26.5,42.9,112.1
08051,16802,18.7,24.8,34.5,118.2
08053,857,41.3,27.1,56.1,81.6
08055,6679,59.1,30.5,55.0,97.0
08057,1261,49.7,25.7,51.6,105.7
08059,574798,25.0,31.3,40.3,99.3
08061,1489,50.5,54.0,42.5,94.1
08063,7447,31.8,41.9,38.3,115.7
08065,7751,14.8,25.3,36.7,125.1
08067,55617,25.5,29.6,40.4,101.4
08069,344786,23.3,30.5,36.0,99.5
08071,14266,40.4,30.3,45.9,110.4
08073,5585,27.8,32.2,38.0,175.9
08075,22380,27.5,33.0,38.2,117.4
08077,151218,31.2,36.7,39.7,97.4
08079,824,43.6,18.9,56.1,105.0
08081,13127,22.7,42.2,36.6,107.4
08083,26031,38.0,38.6,45.2,97.8
08085,41686,41.9,39.5,45.2,97.0
08087,28517,26.2,44.4,36.2,101.3
08089,18282,36.0,43.2,39.9,94.9
08091,4796,49.2,28.2,54.1,103.3
08093,17867,31.0,24.2,50.7,113.9
08095,4290,30.8,47.5,37.1,107.8
08097,17926,26.9,24.3,41.8,108.9
08099,12022,30.5,44.8,38.3,104.1
08101,165982,30.8,38.3,39.3,97.0
08103,6384,25.2,40.0,36.9,104.4
08105,11305,33.8,40.2,42.1,99.3
08107,25072,21.8,27.4,40.2,108.4
08109,6592,40.1,39.0,49.0,99.2
08111,589,39.8,20.7,51.2,98.3
08113,8049,19.7,26.2,41.8,111.3
08115,2322,44.7,48.6,44.1,91.4
08117,30649,18.0,22.9,39.1,119.7
08119,24524,34.3,28.7,50.0,103.6
08121,4868,35.1,40.0,41.6,110.0
08123,305345,19.2,42.6,34.4,102.1
08125,10003,33.1,48.3,37.8,99.0
09001,943926,25.2,36.8,40.6,94.9
09003,893561,27.0,34.1,40.4,94.4
09005,182002,33.8,30.4,47.3,98.1
09007,163053,31.5,28.8,45.7,95.5
09009,857513,27.1,32.6,40.3,93.1
09011,267390,28.3,31.3,41.4,100.5
09013,151063,22.8,26.2,37.7,100.2
09015,116566,25.1,31.3,41.2,98.1
10001,176699,27.6,38.3,37.7,93.1
10003,556165,24.0,34.3,38.4,93.8
10005,224384,49.7,34.8,49.6,93.6
11001,692683,17.2,25.5,34.0,90.3
12001,265443,20.0,26.3,31.6,93.4
12003,28211,22.0,38.2,37.7,108.8
12005,182161,27.7,34.7,39.8,98.8
12007,27317,28.6,31.8,39.7,122.2
12009,585507,40.3,31.6,47.3,95.8
12011,1926205,26.1,34.1,40.4,94.9
12013,14362,31.6,33.3,41.6,122.8
12015,181067,82.3,25.5,59.1,95.5
12017,145169,74.2,30.4,56.5,94.3
12019,211405,25.2,38.5,39.7,97.4
12021,371453,61.8,34.1,50.8,97.0
12023,69968,30.5,36.1,40.4,107.4
12027,36903,36.9,33.2,40.9,129.7
12029,16589,38.4,30.6,46.5,127.2
12031,936186,21.6,35.6,36.2,94.2
12033,313491,26.5,33.5,37.2,98.0
12035,109801,56.7,32.4,51.3,91.3
12037,11811,37.1,26.2,46.4,132.6
12039,45945,28.5,35.9,40.8,90.2
12041,17953,34.4,35.3,42.1,110.3
12043,13516,46.7,26.7,47.9,125.0
12045,15576,32.8,25.9,44.9,140.9
12047,14326,26.5,29.8,40.9,141.9
12049,27131,27.2,45.2,35.4,118.2
12051,40732,21.9,45.0,34.0,112.9
12053,186313,50.9,34.2,49.0,92.4
12055,103437,73.9,36.1,53.5,94.9
12057,1422278,21.9,35.3,37.2,95.6
12059,19432,32.7,32.2,42.7,118.7
12061,153989,62.9,32.0,53.5,92.4
12063,47945,31.0,30.0,41.7,121.7
12065,14161,37.8,26.8,48.0,110.4
12067,8637,21.4,34.2,37.3,145.9
12069,345867,49.1,35.8,46.9,94.1
12071,737468,52.0,33.0,48.5,96.0
12073,289770,18.9,27.4,31.0,90.3
12075,40403,42.8,35.0,46.9,95.3
12077,8345,22.5,24.2,40.7,147.5
12079,18460,32.9,30.7,43.5,114.8
12081,384213,49.6,34.1,48.3,93.7
12083,353526,54.3,35.4,48.7,92.3
12085,159065,57.9,31.2,52.2,97.9
12086,2699428,25.1,32.3,39.9,94.5
12087,75798,35.3,24.1,47.7,108.8
12089,83098,36.8,34.0,45.3,98.4
12091,203794,25.3,35.8,36.9,103.0
12093,41144,33.7,36.8,41.1,117.2
12095,1349746,17.6,33.9,35.1,96.3
12097,351955,20.8,39.5,35.9,97.3
12099,1465027,41.3,33.7,44.8,94.1
12101,524602,39.5,35.6,44.5,94.8
12103,964666,41.1,27.7,48.1,92.4
12105,686218,35.0,38.7,40.2,96.1
12107,73252,40.7,38.4,45.1,98.0
12109,244674,33.7,37.3,43.7,94.8
12111,312947,42.3,35.6,45.1,95.3
12113,174755,25.4,35.6,39.9,104.5
12115,419496,72.7,29.0,56.1,91.2
12117,461402,23.9,33.2,39.2,93.5
12119,125044,157.5,20.2,67.4,100.1
12121,44046,35.5,37.6,43.3,105.7
12123,21870,32.5,32.6,42.0,127.4
12125,15303,22.7,29.0,39.3,187.4
12127,536487,41.6,30.5,46.6,95.1
12129,32321,22.7,33.1,40.6,118.7
12131,68262,32.4,34.0,44.0,102.4
12133,24764,27.2,30.5,41.5,118.1
13001,18440,28.9,42.6,40.3,102.1
13003,8239,22.8,45.4,36.4,102.9
13005,11201,26.0,43.5,36.7,95.5
13007,3132,42.9,37.9,46.1,95.5
13009,45111,23.5,28.7,35.5,102.3
13011,18708,27.3,38.5,41.1,101.0
13013,78991,20.1,42.8,35.7,96.2
13015,104919,22.1,39.5,38.1,97.6
13017,17033,28.8,43.1,39.9,91.5
13019,19152,30.2,41.7,39.6,96.1
13021,153200,25.2,40.7,36.4,88.5
13023,12807,28.9,34.9,35.8,89.6
13025,18756,26.6,39.5,41.1,96.2
13027,15590,32.0,37.6,42.0,95.4
13029,37063,17.5,48.8,34.6,99.4
13031,76120,16.2,29.0,28.8,96.2
13033,22520,25.5,44.3,37.4,90.8
13035,24090,24.0,32.0,38.6,114.2
13037,6365,22.4,26.2,39.6,157.3
13039,53231,20.1,38.1,32.8,106.8
13043,10812,30.4,43.6,38.7,97.6
13045,117183,21.3,38.1,34.8,94.8
13047,66700,28.8,38.6,40.4,92.2
13049,13040,22.7,29.6,41.2,133.5
13051,288496,23.5,33.9,35.6,92.8
13053,10560,4.2,28.1,24.5,186.6
13055,24812,28.8,37.4,39.4,107.6
13057,247515,21.8,40.3,38.7,96.9
13059,126176,14.7,24.1,28.0,90.8
13061,2951,46.9,34.7,49.8,93.6
13063,283538,14.3,44.6,32.5,88.0
13065,6686,26.5,43.9,39.9,102.2
13067,751218,18.5,37.3,36.7,93.8
13069,43021,22.1,39.7,36.3,106.2
13071,45486,26.0,44.7,36.8,97.9
13073,150705,21.5,41.6,36.9,95.9
13075,17177,27.1,43.7,37.3,91.9
13077,143260,21.9,40.2,39.0,94.9
13079,12325,29.7,35.1,44.4,111.0
13081,22713,31.7,42.2,38.5,93.2
13083,16197,30.6,30.8,42.6,95.5
13085,24536,33.6,34.0,43.6,99.3
13087,26682,26.9,41.1,37.8,92.5
13089,749323,18.5,36.1,35.8,89.7
13091,20829,27.8,31.4,41.8,111.0
13093,13736,30.5,28.1,43.2,117.9
13095,89703,25.2,39.8,35.6,85.8
13097,143316,18.2,41.8,36.5,91.0
13099,10312,34.0,45.1,39.9,86.8
13101,3981,26.1,35.8,40.6,90.2
13103,60477,18.4,43.0,36.0,98.1
13105,19166,35.0,37.8,42.6,92.4
13107,22533,26.5,42.1,36.9,96.2
13109,10687,28.8,46.2,37.6,98.0
13111,25395,51.9,30.5,52.1,94.2
13113,112303,30.0,39.6,43.4,94.1
13115,97369,27.4,38.7,38.3,93.7
13117,228383,19.3,46.1,38.5,98.8
13119,22766,32.8,37.2,41.2,95.4
13121,1036200,17.2,33.4,35.5,93.8
13123,30414,42.8,34.7,47.2,99.6
13125,2996,27.2,37.5,42.7,95.2
13127,84470,33.8,38.1,41.6,88.9
13129,57202,23.7,40.4,38.4,98.0
13131,24828,30.9,43.0,40.3,94.7
13133,17349,54.1,36.1,50.2,96.8
13135,915046,15.2,43.0,35.3,95.5
13137,44626,31.3,38.0,39.7,90.0
13139,198667,24.3,42.9,36.7,99.0
13141,8515,35.1,21.8,45.6,130.2
13143,29227,26.2,40.2,40.4,93.5
13145,34105,30.1,36.4,42.9,101.1
13147,25773,38.0,36.0,44.1,96.6
13149,11736,27.4,37.5,41.9,97.6
13151,225356,18.1,41.6,36.9,91.2
13153,153507,20.1,41.4,35.4,94.1
13155,9320,31.5,37.1,39.7,111.1
13157,67885,23.9,42.3,38.1,98.2
13159,13916,29.6,39.4,43.0,93.7
13161,15036,26.0,45.8,36.6,95.6
13163,15618,30.8,40.5,40.0,92.9
13165,8793,29.8,37.4,44.3,87.1
13167,9691,28.9,30.8,41.8,131.5
13169,28579,29.4,39.6,40.4,92.4
13171,18672,26.9,33.5,37.8,95.3
13173,10380,22.7,41.3,35.6,93.9
13175,47405,29.7,42.6,38.9,89.8
13177,29502,20.5,43.4,37.2,99.8
13179,61349,13.9,44.7,28.4,103.1
13181,7856,40.4,33.3,47.1,87.9
13183,18692,14.4,45.0,32.9,102.4
13185,115364,18.5,37.4,30.5,94.8
13187,32402,26.0,28.2,37.0,94.4
13189,21455,30.1,44.0,37.7,84.5
13191,14174,44.6,29.2,49.4,101.2
13193,13305,25.7,29.9,40.3,120.2
13195,29218,27.6,38.2,41.1,96.5
13197,8432,35.8,37.4,44.6,91.6
13199,21106,34.0,37.1,42.3,94.1
13201,5787,39.1,41.6,43.5,94.1
13205,22244,26.4,37.7,39.0,107.7
13207,27171,29.5,33.8,42.9,100.0
13209,9058,26.4,32.9,40.0,105.1
13211,18507,33.8,39.2,44.6,96.0
13213,39724,23.7,41.1,38.2,98.2
