cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
13045,28.5,20.5,22.5
13047,20.3,21.2,24.6
13049,27.2,16.2,18.0
13051,29.8,26.6,20.5
13053,34.4,25.4,25.2
13055,22.3,16.4,21.2
13057,28.6,21.4,27.7
13059,39.7,28.2,12.8
13061,37.6,20.2,10.4
13063,28.6,23.8,25.4
13065,29.6,11.4,12.2
13067,34.2,20.8,27.4
13069,20.9,11.5,24.3
13071,24.3,13.3,14.4
13073,34.4,18.7,19.4
13075,24.8,16.7,23.2
13077,27.1,23.0,25.4
13079,37.8,15.0,17.1
13081,25.8,10.4,10.1
13083,28.8,24.0,14.4
13085,26.1,16.8,33.6
13087,22.2,18.3,18.9
13089,36.0,24.4,22.5
13091,19.8,23.3,15.5
13093,20.4,15.2,26.4
13095,29.5,22.4,23.5
13097,27.4,23.1,26.0
13099,34.5,13.3,13.4
13101,31.2,12.0,23.6
13103,28.7,24.6,19.6
13105,21.9,17.8,15.6
13107,19.9,16.6,18.2
13109,24.6,15.5,28.0
13111,33.2,18.3,16.9
13113,30.3,22.9,24.1
13115,28.4,18.4,22.5
13117,36.1,16.6,28.4
13119,27.3,20.8,22.2
13121,36.9,22.1,26.9
13123,28.6,26.8,20.2
13125,28.0,16.7,17.2
13127,26.9,23.3,23.5
13129,28.2,23.3,17.3
13131,22.5,16.9,27.6
13133,35.0,15.5,21.6
13135,34.1,19.4,26.6
13137,24.3,20.4,23.4
13139,28.4,18.5,24.9
13141,20.7,26.6,20.0
13143,28.7,12.3,18.5
13145,27.6,20.5,25.5
13147,25.7,24.7,19.7
13149,32.6,12.3,18.4
13151,27.5,19.6,25.5
13153,31.5,19.0,25.1
13155,27.3,6.3,26.0
13157,30.9,16.0,24.3
13159,23.8,16.5,16.3
13161,22.9,13.2,14.0
13163,16.0,22.2,20.1
13165,13.2,23.2,17.1
13167,23.4,14.8,15.7
13169,29.3,14.7,20.6
13171,25.2,15.4,19.4
13173,42.0,14.8,19.6
13175,25.5,22.9,20.8
13177,21.6,18.6,25.7
13179,21.6,27.9,25.1
13181,25.2,15.0,23.7
13183,29.4,21.2,16.3
13185,29.5,18.8,19.4
13187,29.8,21.3,17.5
13189,16.6,16.2,26.4
13191,32.7,26.1,13.9
13193,27.3,18.3,21.5
13195,28.9,23.7,16.9
13197,22.9,14.3,42.8
13199,18.1,25.9,18.0
13201,26.0,5.8,23.9
13205,24.9,17.1,15.3
13207,24.2,23.8,23.8
13209,30.5,23.3,15.0
13211,26.7,15.0,24.8
13213,20.9,18.9,24.9
13215,30.5,20.7,22.3
13217,26.8,23.9,24.7
13219,37.1,20.3,17.6
13221,42.8,14.2,16.0
13223,27.1,21.0,24.7
13225,23.6,15.4,16.7
13227,24.3,21.7,24.6
13229,14.1,10.7,20.6
13231,21.2,18.5,15.7
13233,18.4,19.1,21.9
13235,18.6,9.4,16.0
13237,27.7,15.2,23.3
13239,21.5,19.6,23.4
13241,27.9,22.3,20.8
13243,20.7,21.8,25.5
13245,32.1,20.9,22.3
13247,28.2,15.9,25.7
13249,30.2,14.3,18.9
13251,31.2,14.8,17.0
13253,18.5,20.8,20.4
13255,26.4,20.2,21.2
13257,21.2,27.1,19.1
13259,24.2,10.7,26.4
13261,27.3,21.7,16.7
13263,25.3,19.8,29.7
13265,15.6,15.6,27.8
13267,22.0,21.9,16.5
13269,33.7,12.4,10.4
13271,20.2,22.6,10.8
13273,24.8,16.9,29.6
13275,25.4,20.1,19.2
13277,26.1,13.9,22.4
13279,23.4,21.3,16.3
13281,25.0,21.6,17.7
13283,43.2,13.8,11.0
13285,25.8,20.2,23.1
13287,19.7,6.7,16.6
13289,19.6,15.1,27.7
13291,28.2,21.8,18.1
13293,19.7,21.9,14.0
13295,28.2,22.6,21.7
13297,20.9,21.4,26.9
13299,33.6,14.7,17.3
13301,17.3,24.5,20.1
13303,31.0,16.9,23.8
13305,25.1,12.1,14.2
13307,13.7,11.4,27.0
13309,57.2,9.7,5.7
13311,24.4,24.6,23.5
13313,26.5,17.9,24.7
13315,26.1,7.4,11.8
13317,31.6,16.1,12.6
13319,25.7,13.6,16.2
13321,29.3,10.1,24.4
15001,40.6,20.3,15.6
15003,36.0,21.7,21.2
15005,52.9,35.3,0.0
15007,32.8,24.4,17.6
15009,35.7,21.7,18.5
16001,35.3,22.8,19.7
16003,39.2,17.1,12.8
16005,34.4,19.8,14.8
16007,32.2,12.3,14.8
16009,26.8,15.4,23.0
16011,29.6,16.3,16.1
16013,31.3,31.5,17.2
16015,38.2,21.9,17.4
16017,36.1,23.2,14.0
16019,35.2,18.7,17.1
16021,28.1,34.9,13.7
16023,37.4,6.2,10.8
16025,46.2,10.9,17.6
16027,29.4,23.1,18.6
16029,38.6,11.0,8.9
16031,32.0,16.3,17.5
16033,41.3,37.0,9.8
16035,41.4,18.8,10.9
16037,32.0,31.6,9.3
16039,29.3,20.6,22.2
16041,22.9,26.2,14.0
16043,34.0,15.7,11.5
16045,35.8,16.0,19.7
16047,40.1,10.7,20.4
16049,42.2,18.9,12.4
16051,31.7,16.2,14.3
16053,32.0,12.6,10.9
16055,31.0,24.4,17.7
16057,42.7,25.1,10.2
16059,48.8,17.3,9.1
16061,38.8,13.6,9.2
16063,23.6,18.8,14.8
16065,28.3,26.1,14.4
16067,31.5,21.3,17.9
16069,30.8,18.1,18.6
16071,32.9,26.0,8.6
16073,35.1,3.6,13.0
16075,29.7,18.6,20.1
16077,40.0,22.1,9.7
16079,37.6,19.9,14.9
16081,48.5,22.0,13.5
16083,33.9,18.8,16.5
16085,40.8,20.0,15.5
16087,42.5,13.9,16.2
17001,25.7,22.0,19.3
17003,17.3,15.7,17.5
17005,23.0,21.0,24.6
17007,28.7,18.8,22.5
17009,38.8,20.3,12.6
17011,27.5,21.7,16.2
17013,24.5,19.5,23.1
17015,24.4,17.4,18.9
17017,24.4,19.5,21.2
17019,42.1,25.6,11.3
17021,27.7,19.4,14.6
17023,26.9,17.3,12.2
17025,23.9,24.0,18.7
17027,22.2,16.4,26.8
17029,34.9,21.4,13.8
17031,33.9,25.8,21.8
17033,26.2,23.5,17.2
17035,32.6,10.6,15.2
17037,30.9,23.7,17.6
17039,23.5,16.9,20.9
17041,29.0,19.1,17.4
17043,35.5,19.4,25.2
17045,32.6,14.1,17.5
17047,29.7,13.9,11.2
17049,28.9,15.9,21.6
17051,30.6,16.1,13.3
17053,32.9,18.2,14.6
17055,23.4,15.4,15.4
17057,26.6,17.6,13.9
17059,23.4,17.7,18.8
17061,27.3,16.2,9.2
17063,31.6,15.4,18.8
17065,26.6,19.3,12.7
17067,25.0,17.6,19.4
17069,16.2,27.8,9.0
17071,28.1,13.5,16.6
17073,27.4,21.1,21.7
17075,27.9,17.4,15.3
17077,33.0,30.5,9.3
17079,31.9,20.3,11.2
17081,28.2,15.4,13.3
17083,27.2,13.9,19.0
17085,26.5,18.5,22.6
17087,26.9,19.7,18.3
17089,31.0,22.0,22.3
17091,24.9,21.9,18.1
17093,30.7,17.0,24.3
17095,30.0,23.6,13.9
17097,36.6,20.8,22.4
17099,27.1,20.8,14.9
17101,24.2,20.4,16.0
17103,27.1,16.7,20.0
17105,32.3,18.7,13.3
17107,26.5,24.1,17.3
17109,31.5,28.4,11.3
17111,30.3,21.7,24.0
17113,33.1,22.5,19.9
17115,30.2,18.5,19.6
17117,30.0,16.3,21.0
17119,29.7,17.8,21.1
17121,23.7,18.5,15.2
17123,28.3,14.2,19.6
17125,27.7,16.6,12.8
17127,22.9,27.3,15.2
17129,27.4,22.0,16.1
17131,25.0,21.6,15.1
17133,26.1,15.7,28.2
17135,27.4,14.6,15.5
17137,26.2,22.3,15.9
17139,31.3,21.4,15.2
17141,25.7,19.7,18.9
17143,33.7,19.7,18.3
17145,22.3,16.6,13.1
17147,30.1,25.2,19.1
17149,28.4,16.8,11.9
17151,25.9,13.0,16.1
17153,22.4,26.7,17.3
17155,25.6,17.2,20.2
17157,21.6,20.0,18.1
17159,23.4,19.8,17.7
17161,28.1,23.6,19.7
17163,29.2,20.7,21.8
17165,21.0,17.0,16.7
17167,30.9,23.8,19.5
17169,24.5,21.2,14.6
17171,27.5,13.9,17.4
17173,26.8,18.1,15.8
17175,32.8,12.8,13.2
17177,27.8,17.7,18.4
17179,27.8,19.2,20.9
17181,24.9,19.6,11.8
17183,22.5,18.5,14.8
17185,27.6,17.2,20.2
17187,26.6,19.2,21.9
17189,31.2,15.9,16.3
17191,25.8,13.8,18.6
17193,28.8,15.9,15.6
17195,30.0,17.1,18.4
17197,30.3,18.7,24.3
17199,24.6,22.4,14.1
17201,30.6,21.0,17.8
17203,32.3,18.2,19.0
18001,22.5,17.8,21.5
