cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
12001,37.43456298790754,3.39,59.0,55.0
12003,55.15932359369607,3.47,58.6,75.3
12005,46.467475007700706,3.13,65.7,65.1
12007,45.50740537575425,3.17,59.6,69.3
12009,48.556747115013216,3.14,73.3,74.3
12011,43.25903920005797,3.47,54.3,62.1
12013,47.411686291935126,3.69,58.9,81.4
12015,53.93999297707144,2.82,75.5,79.7
12017,48.85758703537947,2.77,74.0,81.9
12019,58.47739227530169,3.21,76.7,75.0
12021,55.73056183075836,3.05,56.3,73.3
12023,44.63852305733498,3.26,53.0,71.4
12027,49.668654738237244,3.32,60.1,69.7
12029,50.01537515375154,2.74,47.0,78.6
12031,41.34236699819772,3.20,66.9,56.7
12033,40.79214680610138,3.16,73.9,62.0
12035,54.84437691412835,3.03,87.6,76.0
12037,45.9045904590459,2.93,65.3,74.6
12039,39.47752055513441,3.07,64.5,72.9
12041,49.76794554455445,3.07,48.5,83.0
12043,48.4468085106383,3.16,43.0,79.6
12045,49.9565746048289,2.75,72.6,74.2
12047,47.774480712166174,2.99,52.1,67.9
12049,53.4655983721226,3.88,61.5,64.9
12051,44.735371597349726,3.59,53.0,65.3
12053,50.96485639963901,2.92,77.6,78.1
12055,51.94537613799712,2.99,68.1,75.3
12057,44.29799971492374,3.32,65.1,58.6
12059,47.22222222222222,3.01,61.9,76.4
12061,52.91749129871016,3.28,73.3,79.2
12063,45.97935739693277,2.90,62.2,69.8
12065,48.4055459272097,2.56,57.6,77.0
12067,57.42528735632184,4.06,49.7,84.4
12069,52.8563026273666,3.07,71.2,74.5
12071,51.95695106263476,3.22,68.2,72.3
12073,37.38056274085414,3.06,61.7,53.0
12075,44.97373885428117,3.03,46.9,77.7
12077,42.17161447742985,3.60,54.0,75.4
12079,40.926526999114785,3.05,56.4,73.6
12081,52.116871680563584,3.17,66.1,72.9
12083,49.49558819302734,3.03,71.9,75.0
12085,49.17555169848748,3.07,67.3,78.0
12086,43.4263254891484,3.65,53.4,51.2
12087,46.931520518897344,2.81,62.0,59.5
