cfips,birth_rate,pct_new_young_mothers
13281,88,0.0
13283,43,0.0
13285,51,11.5
13287,19,0.0
13289,32,85.4
13291,106,0.0
13293,35,0.0
13295,49,1.9
13297,56,1.5
13299,52,10.6
13301,35,0.0
13303,63,6.6
13305,19,0.0
13307,25,0.0
13309,10,0.0
13311,121,9.0
13313,48,7.0
13315,19,0.0
13317,21,0.0
13319,26,38.0
13321,32,15.3
15001,58,2.7
15003,62,1.6
15005,0,-
15007,66,7.0
15009,54,1.3
16001,39,0.0
16003,76,0.0
16005,60,5.5
16007,62,0.0
16009,76,0.8
16011,79,2.3
16013,82,6.4
16015,141,0.0
16017,56,2.6
16019,91,3.3
16021,61,0.0
16023,51,0.0
16025,29,0.0
16027,57,1.4
16029,81,0.0
16031,75,2.1
16033,72,0.0
16035,49,0.0
16037,46,0.0
16039,74,0.0
16041,37,0.0
16043,56,5.8
16045,44,0.0
16047,91,0.0
16049,64,4.3
16051,82,0.0
16053,108,1.4
16055,46,4.8
16057,40,5.0
16059,128,0.0
16061,62,7.1
16063,59,0.0
16065,76,0.0
16067,95,1.4
16069,75,0.3
16071,132,0.0
16073,60,2.0
16075,82,20.5
16077,32,0.0
16079,77,3.8
16081,114,0.0
16083,77,2.2
16085,53,0.0
16087,39,0.0
17001,52,0.0
17003,33,0.0
17005,41,0.7
17007,51,0.0
17009,173,18.9
17011,49,10.7
17013,38,0.0
17015,63,0.0
17017,93,2.4
17019,40,1.5
17021,30,0.0
17023,47,0.0
17025,49,0.0
17027,74,4.5
17029,41,0.0
17031,49,2.4
17033,52,0.0
17035,61,7.3
17037,38,2.5
17039,70,15.4
17041,97,4.2
17043,51,2.2
17045,57,8.5
17047,76,48.5
17049,53,0.0
17051,90,9.8
17053,35,0.0
17055,64,0.2
17057,30,8.7
17059,33,0.0
17061,50,0.0
17063,58,3.2
17065,23,0.0
17067,42,5.0
17069,73,3.4
17071,69,7.3
17073,51,0.0
17075,42,4.7
17077,56,2.7
17079,57,0.0
17081,72,5.0
17083,42,0.0
17085,47,1.2
17087,60,3.2
17089,50,1.0
17091,66,1.3
17093,60,0.0
17095,50,1.4
17097,50,1.9
17099,57,8.4
17101,72,15.2
17103,42,4.4
17105,65,6.1
17107,38,8.9
17109,25,0.0
17111,47,0.6
17113,53,0.8
17115,56,2.0
17117,63,0.0
17119,55,0.1
17121,62,6.7
17123,92,18.4
17125,33,0.0
17127,68,0.0
17129,77,0.0
17131,62,7.3
17133,76,0.0
17135,41,1.4
17137,51,0.6
17139,98,0.0
17141,64,0.9
17143,52,3.6
17145,66,1.6
17147,66,0.0
17149,72,0.0
17151,90,1.7
17153,87,30.1
17155,68,0.0
17157,73,3.7
17159,45,0.0
17161,60,4.7
17163,65,2.3
17165,66,1.9
17167,54,0.7
17169,57,32.9
17171,49,4.0
17173,36,7.3
17175,96,0.0
17177,42,9.2
17179,51,7.4
17181,84,2.1
17183,50,7.3
17185,92,0.0
17187,29,0.0
17189,92,0.8
17191,77,0.8
17193,61,0.0
17195,51,0.9
17197,52,2.0
17199,45,9.8
17201,64,3.3
17203,62,0.0
18001,116,2.3
18003,59,3.7
18005,62,0.0
18007,84,0.0
18009,90,3.8
18011,53,0.0
18013,45,0.0
18015,87,1.1
18017,46,0.0
18019,52,0.0
18021,33,3.8
18023,65,1.1
18025,59,13.6
18027,87,0.0
18029,41,6.1
18031,27,0.0
18033,52,0.0
18035,49,0.0
18037,72,0.0
18039,62,3.2
18041,62,8.9
18043,43,0.0
18045,54,14.8
18047,92,3.1
18049,49,0.0
18051,83,4.1
18053,58,0.8
18055,76,0.0
18057,52,0.1
18059,58,0.4
18061,68,0.0
18063,53,1.9
18065,43,0.0
18067,40,3.2
18069,48,6.6
18071,50,2.4
18073,54,0.8
18075,67,0.0
18077,61,11.1
18079,68,4.2
18081,50,2.9
18083,63,2.6
18085,75,2.6
18087,68,0.0
18089,62,7.7
18091,61,6.1
18093,52,4.8
18095,48,5.6
18097,51,4.6
18099,48,1.3
18101,48,0.0
18103,34,7.0
18105,28,0.0
18107,71,3.4
18109,29,7.2
18111,96,0.0
18113,53,1.1
18115,89,0.0
18117,52,11.7
18119,62,0.0
18121,59,0.0
18123,74,5.0
18125,30,0.0
18127,47,1.1
18129,46,2.0
18131,27,0.0
18133,47,0.0
18135,78,5.2
