"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003EA","B05001_003M","B05001_003MA","B05001_004E","B05001_004M","B05001_004MA","B05001_004EA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Estimate!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Estimate!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Not a U.S. citizen",
"0500000US21185","Oldham County, Kentucky","65967","*****","*****","null","62895","308","null","null","110","null","68","null","577","158","null","null","1292","230","null","null","1093","231","null","null",
"0500000US21187","Owen County, Kentucky","10796","*****","*****","null","10728","64","null","null","10","null","13","null","53","58","null","null","1","8","null","null","4","6","null","null",
"0500000US21189","Owsley County, Kentucky","4442","*****","*****","null","4430","15","null","null","0","null","11","null","0","11","null","null","12","15","null","null","0","11","null","null",
"0500000US21191","Pendleton County, Kentucky","14572","*****","*****","null","14413","95","null","null","0","null","18","null","5","10","null","null","84","84","null","null","70","54","null","null",
"0500000US21193","Perry County, Kentucky","26624","*****","*****","null","26259","85","null","null","8","null","13","null","13","16","null","null","78","69","null","null","266","91","null","null",
"0500000US21195","Pike County, Kentucky","59497","*****","*****","null","58961","107","null","null","20","null","33","null","70","51","null","null","248","98","null","null","198","84","null","null",
"0500000US21197","Powell County, Kentucky","12304","*****","*****","null","12090","115","null","null","0","null","18","null","31","35","null","null","95","93","null","null","88","72","null","null",
"0500000US21199","Pulaski County, Kentucky","64350","*****","*****","null","62812","242","null","null","24","null","38","null","224","116","null","null","532","224","null","null","758","203","null","null",
"0500000US21201","Robertson County, Kentucky","2123","*****","*****","null","2121","4","null","null","0","null","11","null","0","11","null","null","2","4","null","null","0","11","null","null",
"0500000US21203","Rockcastle County, Kentucky","16820","*****","*****","null","16807","17","null","null","0","null","18","null","0","18","null","null","8","14","null","null","5","9","null","null",
"0500000US21205","Rowan County, Kentucky","24507","*****","*****","null","23810","180","null","null","15","null","19","null","108","91","null","null","268","104","null","null","306","130","null","null",
"0500000US21207","Russell County, Kentucky","17778","*****","*****","null","17237","198","null","null","0","null","18","null","68","56","null","null","170","105","null","null","303","108","null","null",
"0500000US21209","Scott County, Kentucky","54667","*****","*****","null","52450","212","null","null","83","null","61","null","158","65","null","null","528","148","null","null","1448","253","null","null",
"0500000US21211","Shelby County, Kentucky","47325","*****","*****","null","44388","299","null","null","25","null","22","null","172","93","null","null","697","169","null","null","2043","282","null","null",
"0500000US21213","Simpson County, Kentucky","18183","*****","*****","null","17908","118","null","null","11","null","20","null","44","44","null","null","100","54","null","null","120","79","null","null",
