"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US48333","Mills County, Texas","4902","*****","*****","null","4522","144","null","null","25","32","null","null","29","null","36","null","143","132","null","null","183","79","null","null",
"0500000US48335","Mitchell County, Texas","8558","*****","*****","null","8038","238","null","null","0","19","null","null","7","null","14","null","134","137","null","null","379","214","null","null",
"0500000US48337","Montague County, Texas","19409","*****","*****","null","18312","292","null","null","12","18","null","null","146","null","100","null","301","133","null","null","638","246","null","null",
"0500000US48339","Montgomery County, Texas","554445","*****","*****","null","471696","2703","null","null","1760","544","null","null","7229","null","1243","null","26555","1550","null","null","47205","2712","null","null",
"0500000US48341","Moore County, Texas","21801","*****","*****","null","16164","469","null","null","19","23","null","null","191","null","121","null","1300","270","null","null","4127","542","null","null",
"0500000US48343","Morris County, Texas","12424","*****","*****","null","11865","127","null","null","8","14","null","null","114","null","69","null","109","67","null","null","328","117","null","null",
"0500000US48345","Motley County, Texas","1156","128","null","null","1154","128","null","null","0","13","null","null","2","null","4","null","0","13","null","null","0","13","null","null",
"0500000US48347","Nacogdoches County, Texas","65558","*****","*****","null","59652","393","null","null","5","8","null","null","605","null","216","null","1416","370","null","null","3880","486","null","null",
"0500000US48349","Navarro County, Texas","48583","*****","*****","null","42293","441","null","null","19","21","null","null","184","null","94","null","1880","379","null","null","4207","493","null","null",
"0500000US48351","Newton County, Texas","14057","*****","*****","null","13777","192","null","null","0","21","null","null","60","null","72","null","126","135","null","null","94","88","null","null",
"0500000US48353","Nolan County, Texas","14966","*****","*****","null","14079","280","null","null","0","21","null","null","47","null","24","null","282","124","null","null","558","265","null","null",
"0500000US48355","Nueces County, Texas","360486","*****","*****","null","325399","1719","null","null","960","331","null","null","3341","null","461","null","11743","858","null","null","19043","1562","null","null",
