"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US48095","Concho County, Texas","3858","*****","*****","null","2605","234","null","null","0","13","null","null","19","null","28","null","33","null","21","null","1201","245","null","null",
"0500000US48097","Cooke County, Texas","39064","*****","*****","null","35311","607","null","null","35","32","null","null","258","null","139","null","734","null","224","null","2726","547","null","null",
"0500000US48099","Coryell County, Texas","75818","*****","*****","null","67060","684","null","null","1224","313","null","null","2659","null","387","null","2647","null","349","null","2228","384","null","null",
"0500000US48101","Cottle County, Texas","1498","121","null","null","1440","130","null","null","0","13","null","null","0","null","13","null","0","null","13","null","58","47","null","null",
"0500000US48103","Crane County, Texas","4836","*****","*****","null","3830","148","null","null","0","13","null","null","59","null","46","null","356","null","87","null","591","127","null","null",
"0500000US48105","Crockett County, Texas","3836","144","null","null","3553","199","null","null","0","13","null","null","0","null","13","null","67","null","41","null","216","131","null","null",
"0500000US48107","Crosby County, Texas","5895","*****","*****","null","5712","66","null","null","0","19","null","null","31","null","22","null","51","null","32","null","101","50","null","null",
"0500000US48109","Culberson County, Texas","2257","*****","*****","null","1897","88","null","null","0","13","null","null","28","null","18","null","186","null","79","null","146","55","null","null",
"0500000US48111","Dallam County, Texas","7207","*****","*****","null","5558","481","null","null","24","29","null","null","17","null","14","null","383","null","194","null","1225","464","null","null",
"0500000US48113","Dallas County, Texas","2552213","*****","*****","null","1912658","5117","null","null","6314","932","null","null","21841","null","1121","null","177719","null","3602","null","433681","5680","null","null",
"0500000US48115","Dawson County, Texas","13095","*****","*****","null","12090","207","null","null","0","21","null","null","44","null","49","null","268","null","124","null","693","179","null","null",
"0500000US48117","Deaf Smith County, Texas","18947","*****","*****","null","15775","329","null","null","23","31","null","null","42","null","33","null","763","null","197","null","2344","350","null","null",
"0500000US48119","Delta County, Texas","5172","*****","*****","null","5031","73","null","null","63","71","null","null","0","null","19","null","36","null","26","null","42","38","null","null",
"0500000US48121","Denton County, Texas","781321","*****","*****","null","652973","2547","null","null","2510","468","null","null","8570","null","983","null","50824","null","1672","null","66444","2258","null","null",
"0500000US48123","DeWitt County, Texas","20474","*****","*****","null","19534","276","null","null","67","80","null","null","68","null","56","null","241","null","99","null","564","230","null","null",
"0500000US48125","Dickens County, Texas","2224","*****","*****","null","2112","51","null","null","0","13","null","null","30","null","24","null","10","null","13","null","72","43","null","null",
"0500000US48127","Dimmit County, Texas","10822","*****","*****","null","10062","218","null","null","0","21","null","null","61","null","74","null","315","null","145","null","384","178","null","null",
"0500000US48129","Donley County, Texas","3433","*****","*****","null","3309","55","null","null","0","13","null","null","38","null","39","null","38","null","23","null","48","30","null","null",
"0500000US48131","Duval County, Texas","11434","*****","*****","null","10726","253","null","null","46","49","null","null","22","null","27","null","367","null","174","null","273","155","null","null",
"0500000US48133","Eastland County, Texas","18278","*****","*****","null","17511","233","null","null","7","10","null","null","48","null","119","null","279","null","134","null","433","239","null","null",
